side_effect,compound
db00715,c0860207
db01259,c0178298
db00818,c0011206
db00983,c0004093
db01225,c0013404
db00507,c0025874
db00358,c0428977
db00734,c0085612
db06589,c0015672
db00445,c0042487
db00829,c0011253
db00740,c0231218
db00303,c0031256
db01220,c0700590
db08827,c0235378
db01234,c0042571
db08881,c0919980
db00280,c0015967
db01143,c0027051
db01211,c0151539
db00760,c0001824
db01600,c0040822
db00715,c0022650
db00938,c0009443
db00842,c2830004
db00368,c0018681
db02546,c0000833
db01129,c0232492
db00193,c0034642
db01263,c0239295
db00433,c0020517
db00185,c0042035
db00195,c0023518
db08910,c0151908
db01255,c0026961
db00936,c0266813
db00180,c0151686
db00193,c0087169
db00398,c0278678
db01037,c0018834
db00701,c0521591
db08896,c0151723
db00360,c0085631
db00035,c0424295
db00207,c0006840
db00328,c0231303
db00213,c0162316
db00788,c2830004
db01002,c0442874
db01189,c0041834
db01165,c0004093
db00529,c0234215
db01264,c0239981
db01041,c0033687
db00684,c0151632
db00373,c0011991
db00531,c0919823
db00402,c0013182
db00494,c0030252
db00879,c0015967
db00448,c0232726
db00744,c0016204
db01011,c0018681
db00186,c0002884
db01248,c0002792
db00877,c0029882
db00999,c0031117
db01440,c0003862
db00788,c0042075
db00811,c0042029
db00285,c0014175
db00490,c0878544
db00014,c0023380
db00686,c0043096
db01002,c0002871
db00783,c0023218
db01280,c0040034
db01156,c0020565
db00973,c0027497
db00185,c0001925
db00989,c0027651
db01033,c1333984
db00784,c0235996
db00678,c0031117
db00551,c0027497
db08907,c0151539
db00207,c0027697
db00884,c0025061
db04573,c0024902
db00661,c0234133
db00401,c0151539
db01024,c0017181
db00188,c1112192
db01118,c0917801
db06287,c0000731
db08907,c0085602
db00213,c0013390
db01115,c0025222
db00924,c0002792
db00519,c0151744
db00541,c0155320
db02703,c2129214
db00275,c0151662
db00564,c0011603
db01244,c0018801
db00411,c0004096
db00303,c0040409
db00820,c0012833
db00569,c0011175
db06212,c0235416
db00734,c1619712
db01097,c0043352
db00921,c0233494
db00998,c0232292
db00698,c0855329
db00275,c0042029
db08877,c0032131
db01140,c0343863
db01016,c0001824
db00218,c0011991
db01167,c0012833
db00602,c0578050
db00813,c0030232
db00996,c0040034
db01390,c0002063
db00976,c0033774
db00833,c0037199
db00787,c0855223
db01248,c0039231
db01012,c0007097
db00990,c0151825
db00763,c0037290
db00755,c0011603
db00285,c0033774
db00668,c1565489
db00648,c0009676
db04868,c0013595
db01212,c0016382
db00398,c0340726
db00864,c0549463
db08881,c0026858
db00261,c3263723
db00327,c0025345
db04868,c0018418
db01114,c0020458
db01065,c0149931
db00710,c0231528
db00240,c0015230
db00437,c0001125
db01222,c0017160
db00248,c0035455
db00503,c0684275
db00482,c0852911
db00492,c0699744
db00176,c0021400
db00845,c0003123
db00882,c0032019
db00917,c0424535
db01082,c0015230
db01176,c0013384
db00770,c0151736
db00448,c0039103
db00412,c0857483
db00904,c0549386
db04946,c0231919
db01583,c0687713
db00462,c0042109
db00834,c0231528
db00203,c0036454
db01158,c0151636
db00724,c0162429
db00499,c0160390
db00273,c0028734
db01037,c0023067
db01086,c0013604
db00175,c0009806
db01128,c0043352
db00289,c1112442
db00831,c0917801
db00451,c0015967
db08907,c1519353
db01137,c0001883
db00180,c0042029
db08930,c0020456
db00384,c0349506
db00193,c0018674
db00779,c0151740
db00631,c0018681
db06705,c0042075
db00999,c0020461
db00783,c0235649
db00780,c0017601
db01037,c0017178
db00268,c0039503
db00177,c0010200
db08877,c0027947
db00215,c0270996
db08881,c0151878
db01206,c0004134
db00480,c0022660
db00268,c0007097
db01232,c0687133
db00813,c0521492
db06590,c0027765
db01189,c0020461
db00471,c0149514
db00315,c0085632
db00630,c0349506
db00876,c0235886
db00669,c0003850
db00335,c0011124
db00641,c0032533
db00375,c0013404
db00495,c0000737
db00938,c1264613
db00346,c0009806
db00921,c0151786
db00295,c0235710
db05521,c0014130
db00635,c0151686
db08947,c1320474
db00988,c0002962
db06700,c0042963
db00611,c0392162
db00693,c0231218
db00549,c0014457
db00747,c0031350
db04572,c0025061
db00494,c0015371
db01115,c0040034
db01100,c0547030
db00688,c0037822
db00476,c0853692
db00482,c0235750
db01074,c0042109
db00571,c0014742
db04573,c0014544
db00465,c0033774
db00730,c0000737
db00544,c0151908
db00738,c0877072
db01190,c0011630
db01215,c0018965
db00544,c0011071
db01035,c0035078
db01129,c1145670
db01263,c0342579
db01261,c0015672
db00728,c0020649
db00715,c0039070
db01024,c0031039
db00910,c0027765
db00408,c0037763
db01044,c0022573
db00839,c0302295
db01140,c0027947
db00843,c0235431
db00494,c0231530
db00815,c0025637
db00708,c0006266
db00479,c0599918
db04844,c0037274
db00811,c0013395
db00783,c0040264
db01115,c0027497
db00359,c0036830
db00780,c0038990
db00273,c0233651
db06701,c0019340
db01241,c0349506
db01050,c0025290
db00296,c0032797
db00297,c0028643
db01205,c0234215
db01118,c0341439
db00982,c0239783
db00818,c1443060
db04868,c0020443
db01073,c0020458
db00213,c0013404
db01167,c0855242
db06148,c0013144
db00413,c0242350
db00704,c0860945
db00623,c0023380
db00195,c0013456
db06201,c0392525
db01611,c0015230
db01189,c0019079
db00185,c0029445
db00667,c0236071
db01203,c0858678
db00706,c0035455
db00566,c0031117
db00213,c0007222
db00910,c0015967
db00278,c0035229
db00425,c0039070
db01024,c0018989
db00656,c2973529
db01558,c0021167
db00273,c0002871
db01346,c0020517
db01041,c0034642
db00215,c0037822
db00248,c0013384
db00710,c1510410
db00399,c0917801
db00788,c0404521
db00766,c0014742
db08901,c0740394
db00248,c0037763
db00188,c0259749
db01008,c0010692
db00683,c0011603
db00906,c0015967
db08866,c0030193
db01059,c0014742
db01222,c0023518
db00492,c0009450
db04835,c0012359
db01600,c0018965
db00994,c0235259
db00402,c0233471
db00989,c0009806
db01268,c0151904
db00843,c0151610
db00608,c0018681
db00705,c0014534
db00457,c0917801
db01181,c0033975
db00741,c0235259
db00307,c0235527
db00842,c0011609
db04835,c0013595
db00384,c0015230
db01003,c1368065
db00936,c0235309
db01242,c0014534
db00215,c0004096
db00220,c0038661
db01332,c0030312
db01264,c0027765
db01224,c0151825
db00590,c0011175
db00385,c0028734
db00497,c0235996
db00502,c0086565
db00790,c0013456
db00700,c0014130
db01097,c0011616
db00864,c0235433
db00316,c0034063
db06212,c0039971
db00783,c0156404
db00833,c0853777
db00927,c0151773
db00624,c0031212
db04835,c0011849
db00388,c0020538
db00666,c0012833
db00523,c0403632
db00480,c0011991
db00567,c0008370
db00756,c0162830
db01024,c0085632
db01110,c0002792
db00509,c0027051
db00911,c0042963
db00543,c0024205
db00648,c0018681
db00564,c0028738
db00630,c0023418
db00608,c0429098
db01101,c0520563
db01268,c0019112
db01193,c0687713
db00379,c0011991
db00450,c0015230
db06589,c0948089
db01072,c0855242
db00262,c0000737
db00195,c0476280
db00811,c0035243
db00686,c0040034
db00319,c0030312
db01235,c0086439
db00295,c0042075
db00480,c0036983
db00656,c0040479
db01141,c0027947
db00213,c0039070
db01004,c0948525
db00811,c0340464
db01367,c0017178
db00865,c0232459
db01267,c0025345
db00313,c0231218
db00315,c0035455
db00569,c0041582
db00437,c0040822
db00261,c0043096
db01222,c0040822
db01268,c0001623
db01182,c0438142
db01224,c0033860
db01232,c0036973
db00688,c1384353
db01156,c0003537
db00829,c0023380
db01242,c0018790
db00268,c0149745
db00813,c0392156
db04953,c0012833
db00288,c0151514
db00285,c0008325
db08873,c0233414
db01628,c0281981
db01101,c0013608
db00982,c0041969
db00910,c0043096
db01623,c0236071
db01623,c0018418
db01156,c0006142
db00296,c0001925
db01229,c0004134
db00421,c0033774
db00708,c0018681
db08868,c0038454
db00943,c0022346
db00661,c0021400
db00878,c0231528
db00451,c0043096
db01592,c0023518
db06414,c0028084
db01194,c0020517
db00582,c0032285
db04868,c0020542
db00388,c0547030
db01083,c0006145
db00687,c0917801
db00603,c0085649
db00316,c0025061
db06201,c0040822
db00783,c0232495
db00996,c0231528
db00404,c0003467
db01105,c0231528
db00177,c0002994
db00868,c0009806
db00327,c0040822
db00176,c0015672
db00727,c0009676
db00974,c0152227
db00104,c0009450
db06698,c0042963
db00938,c0035435
db01005,c0031117
db00395,c0221490
db00287,c0025061
db00339,c0005778
db00176,c1142135
db01394,c0017178
db00724,c0022602
db00815,c0000737
db00692,c0497247
db01053,c0036974
db00991,c0028961
db00745,c2047937
db01024,c0019348
db00747,c0009676
db00982,c0857361
db00588,c0009782
db00187,c0424790
db00556,c0031350
db00305,c0232462
db00215,c0018932
db00996,c0025061
db00564,c0034150
db00185,c0023218
db01198,c0018681
db00280,c0018801
db00584,c0003862
db01254,c0013595
db08934,c0311468
db08944,c1443060
db00811,c0038661
db01211,c1565489
db00361,c0085692
db00953,c0017178
db00843,c2937358
db00458,c0018802
db00384,c0040034
db00390,c0033975
db00185,c0042109
db00681,c0020639
db00465,c0013428
db00859,c0085631
db00860,c0847631
db01628,c0037278
db06288,c0042373
db00285,c1368065
db01186,c0023533
db00864,c0038363
db01006,c0042075
db00755,c0019214
db00850,c0036572
db00451,c0009421
db00681,c0151734
db01397,c0235063
db01095,c0014518
db00829,c0036104
db00443,c0010481
db00675,c0085633
db01263,c0040434
db01273,c0037274
db06590,c0020517
db00181,c2364111
db00678,c0001824
db00747,c0026961
db01041,c0026986
db00294,c0025218
db01600,c0034150
db01211,c0023530
db01196,c2697368
db08893,c0018681
db01229,c0043096
db08918,c0043352
db00834,c0015967
db00423,c3263723
db00964,c0232487
db00422,c0085096
db01590,c0021368
db06148,c0042571
db06700,c0020538
db00493,c0018681
db01607,c0020621
db00982,c0038325
db06292,c0020649
db00740,c0018926
db00727,c1142412
db06701,c0242429
db00915,c0011206
db00332,c0236065
db01194,c0004093
db00683,c0237849
db01105,c0036690
db01062,c0004093
db00206,c0003467
db00327,c0030446
db00688,c0038454
db01340,c0038454
db01155,c0020625
db00625,c0700590
db00629,c0030517
db01174,c0549249
db01101,c0009450
db08903,c0151904
db00437,c0022354
db01044,c0023218
db00215,c0043251
db08815,c0040822
db00698,c0009676
db01275,c0034150
db01319,c0027497
db00571,c0011603
db00443,c0085633
db05039,c0024117
db01101,c0231807
db00916,c0012833
db00966,c0026826
db00750,c0151838
db06700,c0236075
db06701,c0231218
db00661,c0042571
db00091,c0948089
db08882,c0851341
db00590,c0030193
db00472,c0042109
db06663,c0002871
db00400,c0015230
db00749,c0009450
db01043,c0085611
db00746,c0041834
db01069,c0233407
db00502,c0021177
db01182,c0014724
db00855,c0015230
db01068,c0042075
db00544,c0038826
db08918,c0019087
db01097,c0037274
db00370,c0023890
db00369,c0027765
db00829,c0034880
db08877,c0518015
db00859,c0004936
db00726,c0855242
db00999,c0017160
db00843,c0438717
db00684,c0035455
db00740,c2830004
db00864,c0020517
db00483,c0020517
db01590,c0852911
db00303,c0231218
db06701,c0497247
db01181,c0007398
db00216,c1269683
db01254,c0015672
db01043,c0586553
db06268,c0016382
db01238,c0853619
db00758,c0040264
db00796,c0231528
db00814,c0025290
db00465,c0349790
db00584,c0423153
db00293,c0004238
db00997,c0006625
db00639,c0038999
db06703,c0002792
db06237,c0037274
db06782,c2242996
db01072,c0023787
db01176,c0033774
db00484,c0011570
db06705,c0235086
db00295,c0427108
db00289,c0003862
db01406,c0019080
db00688,c0011206
db01160,c0012833
db01101,c0152025
db00563,c0151942
db01008,c0041364
db01592,c0948991
db00515,c0041582
db00700,c0012833
db00675,c0311394
db01085,c0231530
db01232,c0237938
db00973,c0745103
db00953,c0235266
db06268,c0009376
db00601,c0030312
db00996,c0151883
db00783,c2607896
db01186,c0038358
db06702,c0152032
db08826,c0032285
db01623,c0542165
db00962,c0234518
db01204,c0032285
db00215,c0006444
db00230,c0005940
db00281,c0019080
db01136,c0861111
db00928,c0010200
db00515,c0854467
db06203,c0027441
db00818,c0522055
db00445,c0031046
db01198,c0549249
db00762,c0036974
db00185,c0232726
db01274,c0027497
db00761,c1258215
db00288,c0234894
db01004,c0020456
db00396,c0010072
db00413,c0013609
db01069,c0001824
db01165,c0917801
db01168,c0042963
db01232,c0035410
db01065,c0235660
db00916,c0030252
db01129,c0007642
db00186,c0242350
db00247,c0015967
db00195,c0004134
db04573,c0011124
db01003,c0019917
db00477,c3665347
db00176,c0233697
db08804,c0013604
db00738,c0009806
db00268,c0392618
db00218,c0018524
db00287,c3665347
db00535,c0008031
db00371,c0038362
db01165,c0342579
db01595,c0221423
db00396,c0034150
db01610,c0023518
db01141,c0019054
db01590,c0333355
db00252,c0234233
db00285,c0231528
db00281,c0015397
db08912,c0027651
db04890,c0240211
db01234,c0003708
db08901,c0032227
db08912,c0005940
db00695,c0232849
db00872,c1112773
db01039,c0002962
db00783,c0013604
db00917,c0042267
db00390,c0004093
db00297,c0013144
db01203,c0085633
db00326,c0011206
db01611,c0162281
db00476,c0013491
db00688,c0030232
db00380,c0018802
db00503,c0687133
db01608,c0011071
db01179,c0041582
db00271,c0037822
db00755,c0042023
db04953,c0020458
db00813,c0404521
db00724,c0037274
db00230,c0022680
db00999,c0020456
db00629,c0021053
db01195,c0020555
db00976,c0042373
db01600,c0232493
db00952,c0027051
db00783,c0006152
db01149,c0026826
db00440,c0162830
db01219,c0948594
db01024,c0020456
db00452,c0033774
db00541,c0030196
db00316,c1096035
db00486,c0036454
db00287,c0031350
db00454,c1142412
db01394,c0010043
db00349,c0043352
db01418,c0018965
db01203,c0233472
db00986,c0042109
db00302,c0020649
db01142,c0948376
db00177,c0085576
db01115,c0152031
db00218,c0595877
db00590,c1688637
db00125,c0018681
db00551,c0027769
db00804,c0025061
db00572,c0003811
db00492,c0948089
db06589,c0042373
db00417,c0031117
db00218,c0022660
db01004,c3665347
db00896,c0035455
db00215,c0876973
db00185,c0011991
db00904,c0023895
db00734,c0006145
db00276,c0023380
db01255,c0878544
db01205,c0087169
db00861,c0344232
db01220,c0020458
db01129,c0019340
db00369,c0018524
db06777,c0034079
db00642,c0851341
db00697,c0040822
db00770,c0042510
db00425,c0016382
db00693,c0006266
db06268,c0234987
db01015,c1384353
db01211,c1167709
db00216,c1262144
db00683,c0151786
db04911,c0009782
db01171,c0231528
db00193,c0687707
db01400,c0917801
db00811,c0042170
db02546,c0010200
db00014,c0027051
db00808,c0004134
db00413,c0034186
db00357,c0034013
db00813,c1392046
db00376,c0235146
db00455,c0015230
db01259,c0948594
db00996,c0851341
db00323,c0149745
db01222,c0019348
db00656,c0314719
db00484,c0259799
db06204,c0037274
db05294,c3160858
db00906,c0011606
db00877,c0041296
db08912,c0852911
db01586,c0035078
db00193,c0011168
db00603,c0032584
db00315,c0233472
db01267,c0042023
db00962,c0001807
db01181,c0220981
db00244,c0033777
db00783,c0553713
db00943,c0003123
db00996,c0041834
db00607,c0022658
db01240,c1285577
db00552,c0085633
db00770,c0860713
db00776,c0003862
db01206,c0042963
db00528,c2363730
db00429,c0027497
db00273,c0009450
db00921,c0020578
db06809,c0020651
db00910,c0032285
db01098,c0687133
db09015,c0016204
db08907,c0342257
db00268,c0004936
db00790,c0267406
db00252,c1527311
db00959,c0017601
db01095,c0687713
db01186,c0039231
db00582,c0020651
db01624,c0278106
db01013,c0235266
db00310,c0018099
db01101,c2979982
db00603,c0029134
db01190,c0033774
db00985,c0031117
db00678,c0016204
db00764,c0031350
db01175,c0008031
db01198,c0042594
db00538,c0438215
db00296,c0231530
db01327,c0018834
db00776,c0520966
db00889,c0020651
db06288,c0042267
db01142,c0008031
db08873,c0085636
db01005,c0013144
db00877,c0151477
db00673,c0032584
db08868,c0040262
db00289,c0232487
db00736,c0424790
db00701,c0027121
db01020,c0235416
db00997,c0042514
db00928,c0020517
db00489,c0235266
db00377,c0015230
db00323,c0013428
db01238,c0013362
db01268,c0151205
db00472,c0030305
db00472,c0019209
db00811,c0004604
db00434,c0018524
db00203,c0014236
db00331,c0031117
db00537,c0018799
db01162,c0015230
db06590,c0178298
db01215,c0497156
db00401,c0013395
db01403,c2830004
db00747,c0033774
db00530,c0948089
db00287,c0151601
db00656,c0003123
db01156,c0577628
db00601,c0014457
db00731,c0029408
db01211,c0020517
db00215,c1510472
db00448,c0020437
db01589,c0015672
db00564,c0018801
db00833,c0860967
db01115,c0233494
db00445,c0023067
db00284,c0040034
db00535,c0043117
db06288,c0001807
db00758,c0009806
db01217,c0236075
db04835,c0151594
db00271,c0037383
db00570,c0020538
db04946,c0042075
db01059,c0033975
db00503,c0149931
db06268,c0006277
db00709,c0008031
db00735,c0001824
db00916,c0014724
db00413,c0033575
db01192,c0917801
db00683,c0232208
db00681,c0040264
db08804,c0025061
db00313,c0232766
db00436,c0015230
db00889,c0017178
db06287,c0206061
db01020,c2939147
db00780,c0013395
db01043,c0021141
db00497,c0027769
db01020,c0041969
db00996,c0221244
db00783,c0011124
db01212,c2047937
db00998,c0013395
db01020,c0028084
db00523,c0014518
db00813,c0028081
db01080,c0520966
db01222,c0042769
db00091,c0018021
db01095,c0036974
db00361,c2047937
db00706,c0242350
db00404,c0085605
db06335,c0017152
db00471,c0178298
db00193,c0003864
db00949,c0003467
db00705,c0019360
db00459,c0017574
db00718,c0687713
db01595,c0002957
db00747,c0030193
db00770,c0004093
db00287,c0423006
db01041,c0221100
db00381,c0242350
db01224,c0151315
db01273,c0003123
db00413,c1323189
db01132,c0021400
db01140,c0020517
db00375,c0948594
db01197,c0030252
db01242,c0018099
db01073,c0740394
db00424,c0314719
db01120,c0002871
db01267,c0007820
db00899,c0043352
db00195,c0004093
db00735,c0038999
db00091,c0035222
db00808,c0038990
db01197,c0042963
db00615,c0006413
db00153,c0860433
db00758,c0030312
db00277,c0018926
db00634,c0041834
db00402,c0542571
db06605,c0027765
db00982,c0009806
db00740,c0004093
db00970,c0031542
db01097,c0041296
db00623,c0549567
db00331,c0476273
db01072,c0010200
db01238,c0162287
db01186,c0917801
db00238,c0542571
db00369,c0520966
db00413,c0039240
db00743,c0151735
db00884,c0040435
db00615,c0151905
db00749,c0917801
db00951,c0086565
db00740,c0000833
db00412,c0004604
db00459,c0235818
db00215,c0151786
db00880,c0085631
db00784,c1167709
db00480,c1384353
db00736,c0022408
db01112,c0011974
db00764,c0019079
db01211,c0001175
db00811,c0043352
db00295,c0013182
db01367,c0018801
db01263,c0687133
db00564,c0687133
db06216,c0340865
db00685,c0242350
db00966,c0235309
db00811,c0032617
db00433,c0162281
db00627,c0022354
db00788,c0042023
db01126,c0012833
db00734,c0006147
db00315,c0018500
db08947,c0237849
db01181,c0575081
db00339,c0232459
db00620,c0019521
db00788,c0034882
db00747,c0009806
db00184,c0234458
db01211,c0042963
db00528,c0018681
db00222,c0003537
db05260,c0023530
db00738,c0003811
db00997,c0151883
db01009,c0030554
db01232,c0151479
db00519,c0015672
db00768,c0151827
db00889,c0016204
db00755,c0018991
db01149,c1306341
db00215,c1145628
db00302,c0025061
db01175,c0270549
db01101,c0041969
db01156,c0151966
db08815,c0023530
db01254,c0234215
db00624,c0233414
db01046,c0278016
db01112,c0008031
db00216,c0042514
db01224,c0020672
db01004,c0018790
db01215,c0003864
db00999,c0264886
db00215,c0037274
db01003,c0542101
db00302,c0034065
db00760,c1384353
db01337,c0006266
db00681,c1306341
db00843,c0043094
db00443,c0009938
db00659,c0740394
db00538,c0014591
db01198,c0020538
db06207,c0011603
db00384,c0860433
db01211,c0031350
db00921,c0043144
db00922,c0004936
db00734,c0020514
db00547,c0016436
db00713,c0040414
db00413,c0853692
db00586,c0151623
db01077,c0302313
db00480,c0239134
db00734,c0948050
db00284,c0267373
db00989,c0018932
db00928,c0948991
db00489,c0011570
db00693,c0085616
db00315,c0151885
db00990,c0021053
db00344,c0040822
db00631,c0002170
db01065,c0027769
db04868,c0011849
db01240,c0003862
db01012,c0020437
db00332,c0021843
db00953,c0221100
db01181,c0302809
db00905,c0151827
db01410,c0014591
db00986,c0020458
db00877,c0001925
db00685,c0002962
db00493,c0038325
db01149,c0085610
db00313,c0026826
db01005,c0333641
db00290,c0002792
db00285,c0740394
db00227,c0033774
db01162,c1142412
db00573,c0014742
db00176,c0392684
db01260,c0853714
db00666,c2242588
db00530,c0917801
db00741,c0040046
db00788,c0040046
db01242,c1442903
db00620,c0917801
db00287,c0423232
db00233,c0017181
db00337,c0232492
db01204,c0085610
db01362,c0013404
db00398,c0948586
db01136,c0160390
db00543,c0033774
db00193,c0232431
db00770,c0038999
db06701,c0549405
db01129,c0149745
db00443,c0042571
db01398,c0028961
db00700,c1697943
db01236,c0574067
db00289,c0009421
db00297,c0036974
db00622,c0015230
db00843,c0009676
db00489,c0007398
db06701,c0314719
db00743,c0744727
db00559,c0855242
db00209,c0021400
db00188,c0033687
db00480,c2830004
db00598,c0000737
db00603,c0032961
db00667,c0600142
db00465,c0042075
db00820,c0027051
db00862,c0033038
db00688,c0000768
db01238,c0006384
db00899,c0242073
db01050,c0000731
db00338,c0334044
db00290,c0008031
db00295,c0009676
db01233,c0013404
db00541,c0011603
db00818,c0015376
db00246,c0020550
db00104,c0031350
db00194,c0232124
db04839,c0041657
db00788,c0023646
db00962,c0855242
db00648,c0858041
db01586,c0852911
db01115,c0011991
db00458,c0085631
db01440,c0030193
db00862,c0015402
db01044,c0917801
db01576,c0039231
db01050,c0018939
db00949,c0009763
db00927,c0007859
db00294,c1963790
db00203,c0422974
db00530,c0026858
db01074,c0031117
db01600,c0032617
db00327,c0038661
db00216,c0004238
db00671,c1257843
db00252,c0032326
db06268,c0152029
db00722,c0242429
db00480,c1456865
db00441,c0340865
db00190,c0025202
db01189,c0086565
db00640,c0018681
db00612,c0235660
db01346,c0235369
db00669,c0011603
db00422,c0016382
db00615,c0004623
db01262,c0026636
db00230,c1368065
db01168,c0038990
db00373,c0497365
db00972,c0017675
db00615,c0027121
db04574,c0233494
db00302,c0035078
db00961,c0037383
db00679,c0151818
db00674,c0018681
db00790,c0018681
db00373,c0151827
db01026,c0000737
db00377,c0013384
db00943,c2047937
db00811,c0231807
db01140,c0042571
db00413,c0178298
db00755,c0700225
db08911,c0018965
db06701,c0699744
db01262,c0948594
db01249,c0235431
db00755,c0235431
db01160,c0009450
db00829,c0011606
db00474,c0042109
db01175,c0041657
db00567,c0042109
db00286,c0026858
db01190,c0027947
db01058,c0004245
db06589,c0003862
db00408,c0314719
db01118,c0151799
db01075,c0020458
db00715,c0428974
db00401,c0004096
db00762,c0011071
db00551,c0023380
db00758,c0019079
db04946,c0020039
db00717,c0001430
db00538,c0027769
db00136,c0151849
db00738,c0020672
db00465,c0030305
db00833,c0006852
db01024,c0267028
db00843,c0001807
db01012,c0020538
db01020,c0022408
db00584,c0018790
db01420,c0042963
db01267,c0162298
db06777,c0231303
db01249,c0424790
db00715,c0156543
db00227,c0235266
db01440,c0151905
db00911,c0018681
db00502,c0004936
db04868,c0235431
db00482,c0004623
db01340,c0006266
db01186,c0003467
db01100,c0178298
db01190,c0014175
db01222,c0851578
db00998,c0023067
db01208,c0022904
db00710,c0022081
db01156,c0558401
db00468,c0302810
db00959,c0151937
db00749,c0013378
db01242,c0242184
db01171,c0547030
db05630,c0236024
db00204,c0013604
db00681,c0023518
db06702,c0042029
db00973,c0026821
db00468,c0042571
db00715,c0575081
db00601,c0037763
db00231,c0039070
db00246,c0262385
db04868,c0151878
db00571,c0178298
db01142,c0010200
db00588,c0015967
db00178,c0001824
db01234,c0019348
db00262,c2937358
db00310,c0041349
db01234,c0340865
db00443,c0020452
db00238,c0020517
db00577,c0003862
db00281,c0004245
db00585,c0035455
db01171,c0040822
db00343,c0013390
db00497,c0007859
db00569,c0017178
db00676,c0030193
db01204,c0853847
db00966,c0243026
db00868,c0027424
db00358,c0237314
db00734,c0030297
db08827,c0004604
db04953,c0027497
db00997,c0017178
db01264,c0267792
db00468,c0013491
db00530,c0013604
db08903,c0232462
db01039,c0451641
db00331,c0018621
db00472,c0039070
db06711,c0857807
db00321,c0013384
db00864,c0019345
db00909,c0014457
db00346,c0035455
db01247,c0030252
db00916,c0033975
db01410,c0438215
db00656,c0004134
db01168,c0011053
db01176,c0030193
db00307,c0020621
db01213,c0031350
db00961,c0012833
db01182,c0017168
db01205,c0018681
db00962,c0439857
db01155,c0860866
db00594,c0042571
db00754,c0018681
db00529,c0000737
db00559,c0019080
db00347,c0001925
db00424,c0043352
db00968,c0037274
db00425,c0020433
db00281,c0036974
db00770,c0033581
db00194,c0042963
db00844,c0036572
db01320,c0010520
db00966,c0020458
db00619,c0020621
db00998,c0030920
db00982,c0233494
db00193,c0036973
db00476,c0011603
db01104,c0852911
db00502,c0547030
db00484,c1519353
db00367,c0268000
db01039,c0032285
db00425,c0235063
db00627,c0019360
db00422,c0085593
db01181,c0011206
db00273,c0424295
db00459,c0151905
db00497,c0687713
db01016,c0857305
db00745,c0013404
db00468,c0039231
db00222,c0028734
db01073,c0006277
db00943,c0151827
db01592,c0020649
db06684,c0018799
db00276,c0085612
db00540,c0015230
db00187,c0740481
db00211,c0042075
db00305,c0231218
db00790,c0022650
db00674,c0042963
db00641,c0152025
db00480,c0878544
db00603,c0232943
db00193,c0034882
db01238,c0679048
db00880,c0004093
db00187,c0028961
db01229,c0013428
db01112,c0262988
db08906,c0012833
db00609,c0687713
db00829,c0233494
db00722,c0159056
db00303,c1096343
db00424,c0152032
db00611,c0085631
db01175,c0221170
db00649,c0152025
db00437,c0240925
db00327,c0311394
db01195,c2047937
db01238,c0018808
db00559,c0042373
db00455,c0030193
db00402,c0037036
db01367,c0085631
db00611,c0015230
db01242,c0236171
db00225,c0231528
db00945,c1384666
db01151,c0152198
db00668,c0233794
db00230,c0038661
db00715,c0027813
db00570,c0007642
db01097,c0003467
db00734,c0021177
db00550,c0042571
db01580,c0012569
db00687,c0233472
db00620,c0013491
db00770,c0231835
db00208,c0019080
db01260,c0020458
db00425,c0003860
db00619,c0020538
db06148,c0086132
db00396,c0156404
db00472,c0241934
db01192,c0006266
db01200,c0020580
db08881,c0018681
db00491,c0015230
db01591,c0151908
db01375,c0220994
db00669,c0162820
db01262,c0028081
db00413,c0008489
db01595,c0032290
db00999,c0004604
db00751,c0234655
db00787,c0003123
db01041,c0013404
db00745,c0020458
db00476,c1443060
db00528,c0021053
db01068,c0151766
db00318,c0017178
db08873,c0001824
db00050,c0152096
db00273,c0151905
db01175,c0085612
db01217,c0241633
db00602,c0549249
db01242,c0232461
db01608,c0002453
db01261,c0019360
db00715,c0700345
db00327,c0019521
db00586,c0151786
db01182,c0042373
db00623,c0020649
db01175,c0033247
db08815,c0595877
db00685,c2129214
db00176,c0687133
db00199,c0000737
db00448,c1579838
db00704,c0011991
db00422,c0033975
db00316,c0013428
db00176,c0575081
db01024,c0022346
db06777,c0852911
db00740,c0018099
db04946,c0042373
db00764,c0004604
db01238,c0549373
db00431,c0018681
db00695,c0220870
db01592,c1384353
db00224,c0851578
db00619,c0085649
db06402,c0027497
db00367,c0013404
db00145,c0012254
db00623,c0234133
db01111,c0011603
db00213,c0151888
db00549,c0011603
db00726,c0033774
db01016,c0085584
db01181,c0015397
db06700,c0855242
db00740,c0027697
db00307,c2830004
db00962,c0027121
db01074,c0020615
db00843,c0242429
db01175,c0267596
db00555,c0234022
db00683,c0033774
db01181,c0015934
db00203,c0699893
db00184,c0036974
db00631,c0854453
db00679,c0002994
db00497,c0549249
db00352,c0235416
db01273,c0004096
db00540,c0038362
db01101,c0022568
db01104,c0227791
db01416,c0162119
db00380,c0151605
db00188,c0032326
db01263,c0008370
db00519,c0235416
db00396,c0013144
db01265,c0027765
db01610,c0030193
db00446,c0221203
db00496,c1384353
db00909,c0030554
db01115,c0004093
db06292,c0005684
db01362,c0030554
db00317,c0002994
db00722,c0013378
db00399,c0020458
db00404,c2047937
db00712,c0018834
db06715,c0027651
db00215,c0017160
db00233,c0085584
db00608,c0002170
db01166,c0236075
db00313,c0042267
