side_effect,compound
db01114,c0040822
db00208,c0243026
db00715,c0424000
db00434,c0042023
db00960,c0948595
db06213,c1698480
db00953,c0019521
db00544,c0011168
db00843,c0031085
db00369,c0040264
db01205,c0235939
db00396,c0011570
db01029,c0030193
db01029,c0026858
db01291,c0039070
db00597,c3257803
db00465,c0233494
db00627,c0015732
db06701,c0030305
db04946,c0011603
db00528,c0003123
db01229,c0042514
db00407,c0151828
db00278,c0030193
db01142,c0851341
db01009,c0042401
db08906,c0004604
db09009,c0278134
db01590,c0032227
db00722,c1956415
db02703,c0042109
db00349,c0010200
db00494,c0018834
db00230,c0003507
db01080,c0037822
db00980,c0002792
db00631,c0003467
db00570,c0004093
db00418,c0020649
db01204,c0023487
db01320,c0151830
db00790,c0037383
db02638,c0027497
db00502,c0042514
db01229,c0004238
db01265,c0151904
db01080,c0010200
db08826,c0575081
db06201,c0477371
db00601,c0030193
db01211,c3263723
db00736,c3665386
db08864,c0018681
db04868,c0024902
db00755,c0022116
db00983,c0151315
db01023,c0011991
db00652,c0013404
db01084,c0004095
db00444,c0857353
db00678,c0242350
db01024,c0040034
db01101,c0162429
db00683,c0085593
db00390,c2004435
db01248,c0039240
db01198,c0043094
db01002,c0007859
db00540,c0013144
db00966,c0035410
db01053,c0009421
db00743,c0151827
db01267,c0033774
db00295,c0011168
db00776,c0025323
db01105,c0034152
db08866,c0004936
db00218,c0039503
db00176,c0022660
db06201,c0021167
db00693,c0234215
db00750,c0728725
db00187,c0948089
db00264,c0035357
db00853,c0677865
db01238,c0027051
db00953,c0017152
db09009,c0442874
db00553,c0020517
db00997,c0013428
db01320,c0009806
db01151,c0026961
db01242,c0028734
db00193,c0853312
db00704,c0234215
db00998,c0236075
db00710,c0851578
db00681,c0232492
db00674,c0030554
db00091,c0002170
db01050,c0019080
db00927,c0023530
db01177,c0041582
db00853,c0001622
db01042,c0237849
db01340,c0242528
db01009,c0035455
db00280,c0234215
db01067,c0003123
db01141,c0085649
db01206,c0009450
db00458,c0003467
db00695,c0012797
db01012,c0011570
db00538,c0036572
db01136,c0012833
db01397,c0041834
db00713,c0151766
db00569,c2242996
db00319,c0149904
db00989,c0232726
db00285,c1168034
db00605,c2047937
db00959,c0235325
db01100,c0002878
db00396,c0040053
db00770,c0243026
db00296,c0003467
db00285,c0262662
db00555,c0151904
db01141,c0012833
db00492,c0007787
db00854,c0151824
db00401,c0149931
db00014,c0041834
db00291,c0004093
db01129,c0234458
db01032,c0042109
db00582,c0010520
db00715,c0036572
db00538,c1260880
db00218,c0018681
db08884,c0022281
db00335,c0028084
db00649,c0151908
db00195,c0917801
db01393,c0026821
db00605,c0012833
db00190,c0008031
db01104,c0919715
db00244,c1510410
db00818,c0026821
db00744,c0042029
db01196,c0562057
db01255,c0344232
db01204,c1096403
db00324,c0151827
db00818,c0030554
db00218,c0003862
db00370,c0235437
db00938,c2047937
db01041,c0042373
db00477,c0002994
db00698,c0042384
db08884,c0021053
db00429,c0011991
db00282,c0035455
db01263,c0151594
db00911,c0017675
db01236,c0917801
db00572,c0234913
db00790,c0002622
db00736,c0009450
db00899,c0015967
db00831,c0004093
db00538,c0037274
db01104,c0017605
db00237,c0002994
db00322,c0017152
db00815,c0010520
db00577,c0178298
db01175,c0700361
db00910,c0014591
db01162,c0030554
db01003,c0019079
db00975,c0015230
db01181,c0034063
db00476,c0549622
db00654,c0349790
db00661,c0424295
db00764,c3263723
db00583,c0231528
db00344,c0043094
db00976,c0178298
db01400,c0026821
db00741,c0267596
db00285,c0007860
db01104,c0012813
db01224,c0151878
db00300,c2711227
db00450,c0015967
db00943,c0004134
db05109,c0027947
db01217,c0007785
db00541,c0018681
db01249,c0043352
db00669,c0015371
db01185,c0518015
db01235,c0541831
db00529,c0085631
db01440,c0032461
db01095,c0427055
db00748,c0011609
db01104,c0085636
db01059,c0003469
db00264,c0162830
db01083,c0027765
db00877,c0029927
db00818,c0677500
db00275,c0020443
db00445,c0423791
db01410,c1384353
db00905,c0162834
db00196,c1112442
db00218,c0028173
db01232,c0020488
db00950,c0151736
db00687,c0036572
db01274,c0011991
db01101,c0009763
db00523,c0004096
db00861,c0015230
db00704,c0242429
db01274,c0004604
db06589,c0267792
db01053,c0031542
db00230,c0042755
db01222,c0852911
db01003,c0002792
db00549,c0013604
db00794,c0003862
db00316,c0022107
db00425,c0002792
db01238,c0435002
db00788,c0043352
db00788,c0233414
db00897,c0232462
db00652,c0001824
db01039,c0040435
db00563,c0025160
db00784,c0032285
db00918,c0020580
db00281,c0085593
db00401,c0039231
db00348,c0006826
db00448,c0020175
db00734,c0152227
db00693,c0004812
db00539,c0038990
db00412,c0948089
db00601,c0029132
db01161,c0039070
db00715,c0027796
db04868,c0016204
db00996,c0086525
db00181,c0040409
db00615,c0151849
db00494,c0019348
db00209,c0600142
db01039,c0042373
db00622,c0600142
db06155,c0002957
db01595,c0013404
db01583,c0003467
db00185,c0020651
db00647,c0220981
db01156,c0016242
db01104,c0085932
db00659,c0030332
db08881,c0015230
db01627,c0042963
db00480,c0032227
db00635,c0240735
db00833,c0162119
db08916,c0232849
db00869,c0037199
db00567,c0011991
db00248,c0016059
db00540,c0003811
db00607,c0000737
db06684,c0038661
db00722,c0020517
db00264,c0039231
db08815,c0013395
db00244,c0013456
db01156,c0043241
db00366,c0003123
db00246,c0042075
db00704,c0332534
db06777,c0002962
db00685,c0151746
db00502,c0042075
db01240,c0027769
db01120,c0043352
db01048,c0232487
db08873,c1527344
db01105,c0575081
db00934,c0917801
db04839,c0019080
db00619,c0037199
db04572,c0086543
db08896,c0011603
db01039,c0013456
db00445,c0001925
db00603,c0152031
db00558,c0024115
db00326,c2242996
db00997,c0043094
db01222,c0016204
db00287,c0005741
db01131,c0025061
db00672,c0023530
db01142,c0235660
db01590,c0034186
db00184,c0085631
db00480,c0042075
db00343,c0030193
db00178,c0012833
db00332,c1527344
db00813,c0267028
db00396,c0010399
db00496,c0009806
db00530,c0038362
db01611,c0018681
db00675,c0156404
db01198,c0086769
db00989,c0001925
db00230,c0549249
db00720,c0853813
db00787,c0004093
db01059,c0017979
db00224,c0027707
db00906,c0233414
db00276,c0030312
db01024,c0574067
db00674,c0022650
db00962,c0015469
db00915,c0234518
db00763,c0919715
db01420,c0702109
db00401,c0042267
db00843,c0151699
db00831,c0012833
db00413,c0281981
db06701,c0234930
db06698,c0018524
db00359,c0014742
db00014,c0030252
db00928,c0038002
db00243,c0030312
db01224,c0948525
db00402,c0017152
db00238,c0038367
db00181,c0031256
db00972,c0017160
db00619,c0012813
db00230,c0023066
db08887,c0020458
db01059,c0013362
db01268,c0267841
db00531,c0036983
db01211,c0014742
db01224,c0242339
db01624,c3665347
db00977,c0016034
db01037,c0039240
db00136,c0042029
db00413,c0162429
db00997,c0027769
db00659,c0917801
db00458,c0018794
db00747,c0015672
db00726,c0001416
db01194,c0015401
db00695,c0022354
db00555,c0231528
db00484,c0241136
db04946,c0037036
db00515,c0026821
db00422,c0037199
db00388,c0013378
db08877,c0019080
db06287,c0040034
db01160,c0002631
db00454,c0232431
db06268,c0232492
db06701,c0231246
db06287,c0178298
db00593,c1456784
db00215,c0002622
db00485,c1565489
db00377,c0037036
db00234,c0027769
db00910,c2004435
db01413,c0009806
db00399,c0333355
db01155,c0232602
db00338,c0235889
db01217,c0042109
db01420,c0004093
db01165,c0002994
db00619,c0149904
db00906,c0042023
db00783,c0013395
db00457,c0011603
db01212,c0687133
db00273,c0232498
db00612,c0277925
db00220,c0023530
db00210,c0013595
db04573,c0149871
db00547,c0151514
db00291,c0004134
db01367,c0026846
db01236,c0428974
db00808,c0026857
db02703,c0009763
db00538,c0004604
db00218,c0031542
db00998,c0015672
db01224,c0043094
db01590,c0235710
db00445,c0341012
db01137,c0036454
db04839,c0027051
db00859,c0023518
db00484,c0413252
db00649,c0013395
db00665,c0028734
db01044,c0234632
db01211,c0037274
db04573,c1384353
db00264,c0234238
db00091,c0232459
db00343,c3665386
db00224,c0035410
db00477,c0549567
db00477,c0542165
db00413,c0600260
db00622,c0013404
db00787,c0242429
db00625,c0085641
db01068,c0018801
db01156,c0233494
db01229,c0018965
db00593,c0027497
db00934,c0162429
db01438,c2939465
db00287,c0010200
db00783,c0041969
db00227,c2004489
db00307,c0151754
db00203,c2242621
db00597,c0600125
db00195,c0023380
db00480,c0026986
db01205,c0151636
db00507,c0015230
db01238,c0013428
db00983,c0027424
db00313,c0001339
db00808,c0017152
db00904,c0151735
db01101,c0948089
db00601,c0085096
db00275,c0027707
db01186,c0151883
db01137,c0392171
db00573,c0085649
db00459,c0017565
db00710,c0010692
db00307,c0030794
db00319,c0011991
db01268,c0014868
db00276,c0043094
db01413,c0035078
db01264,c0424790
db00846,c0009450
db00177,c0085932
db00992,c0037299
db01100,c0041657
db01242,c0020555
db00459,c0438215
db00921,c0020649
db00440,c0002874
db00519,c0015230
db00789,c0085631
db00709,c0034902
db06684,c0009782
db00843,c0558401
db00904,c0019080
