e1,e2,all
db01011,"['db01011', 'db00627']","['db01011', 'db01011', 'db00627', 'c0232487', 'c0017178', 'c0027497', 'c0151773', 'c0030193', 'c0001623', 'c0019572', 'c0687713', 'c0027765', 'c0014130', 'c0018681', 'c0012833', 'c0000737', 'c0850569', 'c0002170', 'c0020649', 'c0037274', 'c0020538', 'c0030312', 'c0011615', 'c0042373', 'c0042963', 'c0178298', 'c0750394']"
db01012,"['db01012', 'db01191', 'db00472', 'db00476']","['db01012', 'db01012', 'db01191', 'db00472', 'db00476', 'c0011570', 'c0687713', 'c0026821', 'c0037274', 'c0022661', 'c2939419', 'c0009806', 'c0085612', 'c0021053', 'c0006826', 'c0041912', 'c0231528', 'c0030196', 'c0016658', 'c0000737', 'c0027497', 'c1384494', 'c0004093', 'c0026766', 'c0005940', 'c0027765', 'c0020517', 'c0002994', 'c0040053', 'c0020649', 'c0017178', 'c0011991', 'c0178298', 'c0042963', 'c0011175', 'c0221002', 'c0016655', 'c0003123', 'c0011603', 'c0030554', 'c0003811', 'c0007097', 'c0020437', 'c0020538', 'c0015672', 'c0002871', 'c0013395', 'c0232462', 'c0015230', 'c0162429', 'c0018681', 'c0948594', 'c0012833', 'c0017181', 'c0036572', 'c1561643', 'c0013404', 'c0015967', 'c0039621', 'c0018801', 'c0008031', 'c0009450', 'c0037763', 'c0085649', 'c0020598', 'c0042109', 'c0033774', 'c0003862', 'c0010200']"
db01013,"['db01013', 'db01260', 'db01222', 'db00764']","['db01013', 'db01013', 'db01260', 'db01222', 'db00764', 'c0020555', 'c0020456', 'c0392160', 'c0549201', 'c0521491', 'c0085649', 'c0241157', 'c0030554', 'c0011616', 'c0020580', 'c0001622', 'c1368065', 'c0442886', 'c0853714', 'c0333641', 'c0037274', 'c0234222', 'c0033860', 'c0151505', 'c0018681', 'c0234894', 'c0011603', 'c0587054', 'c0034150', 'c0178298', 'c0030193', 'c0677500', 'c0151514', 'c0162834', 'c0152459', 'c0234233', 'c0521494', 'c0017979', 'c0020517', 'c2242996', 'c0521490', 'c0041834', 'c0235266', 'c0175167', 'c0009782', 'c0877661', 'c0863084', 'c0271738', 'c0015230', 'c0877098', 'c0151908', 'c0039446', 'c0030196', 'c0034212', 'c0009450', 'c0263449', 'c0010481', 'c0151717', 'c0162835', 'c0002170', 'c0235763', 'c0035854', 'c0026113', 'c1142160', 'c1323189', 'c0085641', 'c0016436', 'c0858797', 'c0162820', 'c0349398', 'c0011253', 'c0033774', 'c0302295']"
db01014,"['db01014', 'db00345', 'db08981']","['db01014', 'db01014', 'db00345', 'db08981']"
db01015,['db01015'],"['db01015', 'db01015', 'c0035078', 'c0015672', 'c0027765', 'c0036572', 'c0015397', 'c0017178', 'c0851341', 'c0042109', 'c0014742', 'c1257843', 'c0267792', 'c0014457', 'c0042075', 'c0020461', 'c0011570', 'c0003123', 'c0002874', 'c0010200', 'c1565489', 'c0020615', 'c0011609', 'c0038362', 'c0151788', 'c0151579', 'c0002792', 'c0019054', 'c0043117', 'c0012833', 'c0030305', 'c0041349', 'c0031117', 'c0232462', 'c0032285', 'c0002878', 'c1368065', 'c0015230', 'c0423271', 'c0018939', 'c0021053', 'c0033774', 'c0037274', 'c0013395', 'c0018524', 'c0004134', 'c0024141', 'c0233494', 'c0302295', 'c0028961', 'c0002888', 'c0011991', 'c0002994', 'c0030312', 'c0035410', 'c1384353', 'c0034152', 'c0009782', 'c0042164', 'c0013404', 'c0014518', 'c0162429', 'c0232459', 'c0231528', 'c0031036', 'c0025290', 'c0221242', 'c0595916', 'c0042963', 'c0027720', 'c0012797', 'c0038325', 'c0001824', 'c0948594', 'c0034150', 'c0025637', 'c0235996', 'c0020625', 'c0040034', 'c0040264', 'c0022354', 'c0349506', 'c0599918', 'c2973529', 'c0027726', 'c0015967', 'c0235896', 'c0085593', 'c0027813', 'c0004093', 'c0917801', 'c0687713', 'c0027769', 'c0019158', 'c0027497', 'c0004936', 'c0003862', 'c0178298', 'c0023530', 'c0018681', 'c0020517', 'c0042571', 'c0233471', 'c0000737', 'c0162830', 'c0011606', 'c0151773', 'c0151798', 'c1320835', 'c0151436', 'c0041969', 'c0857305', 'c0017675', 'c0014358', 'c0003460', 'c0011603', 'c0027947', 'c0085632', 'c0025061', 'c0027707', 'c0036830', 'c0032617']"
db01016,['db01016'],"['db01016', 'db01016', 'c0030554', 'c0281774', 'c0027497', 'c0344232', 'c0023530', 'c0022660', 'c0008370', 'c0687713', 'c0034150', 'c0162830', 'c0020433', 'c0162429', 'c0018834', 'c0003862', 'c0020625', 'c0003123', 'c0085932', 'c0042109', 'c0086565', 'c0015230', 'c0162533', 'c0007820', 'c0853026', 'c1368065', 'c0018681', 'c0014457', 'c0151436', 'c0019158', 'c0232570', 'c0020635', 'c0011991', 'c0013404', 'c0854467', 'c0085605', 'c0020517', 'c0036572', 'c0027765', 'c0041834', 'c0860210', 'c0948594', 'c0020615', 'c0036974', 'c3665347', 'c0541900', 'c0020678', 'c0022354', 'c0042963', 'c1565489', 'c2973529', 'c0231528', 'c0001824', 'c0857305', 'c0085584', 'c0000737', 'c0022346', 'c0003864', 'c0234222', 'c0001973', 'c0002170', 'c0149904', 'c0542184', 'c0017178', 'c0020649', 'c0002878', 'c1443060', 'c0547030', 'c0235369', 'c0232462', 'c0221395', 'c0007682', 'c0011609', 'c0022658', 'c0232459', 'c0151746', 'c0015397', 'c0001125', 'c0002874', 'c0030312', 'c0042384', 'c0000731', 'c0456909', 'c0162566', 'c0151474', 'c0009676', 'c0020458', 'c0302295', 'c0011603', 'c0011053', 'c0030305', 'c0005779', 'c0040034', 'c0013395', 'c0002871', 'c0033774', 'c0040822', 'c0002994', 'c0085762', 'c0700590', 'c0004093', 'c0013604', 'c0021141', 'c0012569']"
db01017,"['db01017', 'db00595']","['db01017', 'db01017', 'db00595']"
db01018,['db01018'],"['db01018', 'db01018', 'c0232495', 'c0013604', 'c0009806', 'c0020458', 'c0233494', 'c0234215', 'c0023222', 'c0020651', 'c0037763', 'c0242350', 'c0042963', 'c0011168', 'c0231218', 'c0004093', 'c0428977', 'c0042571', 'c0857121', 'c0151826', 'c0233472', 'c0027051', 'c0042023', 'c0948089', 'c0018524', 'c0231528', 'c0042024', 'c0023218', 'c0004245', 'c0018802', 'c0018681', 'c0034150', 'c0013144', 'c0232492', 'c0039070', 'c0011991', 'c1443060', 'c0013378', 'c0000737', 'c0003467', 'c0041657', 'c0008031', 'c0002170', 'c2047937', 'c0004096', 'c0030196', 'c0232462', 'c0038454', 'c0030252', 'c0015397', 'c0237849', 'c0917799', 'c0020538', 'c0009676', 'c0040822', 'c0020517', 'c0948594', 'c0023380', 'c0035455', 'c0085631', 'c0344232', 'c0086439', 'c0027497', 'c0036572', 'c0040264', 'c0232197', 'c0022107', 'c0232487', 'c0028084', 'c0043094', 'c0039584', 'c0003813', 'c2981158', 'c0022660', 'c0039231', 'c0030552', 'c0030554', 'c0015230', 'c0028734', 'c0033774', 'c0021053', 'c0022081', 'c0018794', 'c0036974', 'c0011603', 'c0015672', 'c0003862', 'c0393761', 'c0687713', 'c0013404', 'c0235309', 'c2830004', 'c1368065', 'c0043352', 'c0020649', 'c0011606', 'c0917801', 'c0002622', 'c0013395', 'c0030232', 'c0151905', 'c0393760', 'c0038990', 'c0014394', 'c3665347', 'c0151766', 'c0027769', 'c0009763', 'c0012833']"
db01019,['db01019'],"['db01019', 'db01019', 'c0011991', 'c0036104', 'c2939147', 'c2047937', 'c0038990', 'c0042023', 'c0016382', 'c0018681', 'c0232488', 'c0037036', 'c0039231', 'c0027497', 'c0423153', 'c0085606', 'c0000737', 'c1443060', 'c0036572', 'c0232693', 'c0231218', 'c0549386', 'c0020649', 'c0006266', 'c0152227', 'c0020458', 'c0234193', 'c1328539', 'c0014724', 'c0234215', 'c0026205', 'c0004096', 'c0000729', 'c1963818', 'c0079043']"
db01020,"['db01020', 'db00883']","['db01020', 'db01020', 'db00883', 'c0034642', 'c0232462', 'c0002418', 'c0948594', 'c0030252', 'c0020538', 'c0034886', 'c0522055', 'c0019112', 'c0039231', 'c0262985', 'c0003811', 'c0007222', 'c0019080', 'c0428977', 'c0027497', 'c0235290', 'c0085593', 'c0242350', 'c0030552', 'c1368065', 'c0008325', 'c0000737', 'c0151315', 'c0042029', 'c0027765', 'c0151662', 'c0948525', 'c0035243', 'c0042075', 'c0031345', 'c0032617', 'c0236075', 'c0009676', 'c0020598', 'c0021775', 'c0017178', 'c0037299', 'c0015230', 'c0855242', 'c0039070', 'c0235198', 'c0851578', 'c0035455', 'c0003862', 'c0149793', 'c0553713', 'c0042790', 'c0039971', 'c0151936', 'c0151904', 'c1306341', 'c0037274', 'c0025637', 'c0085611', 'c0004623', 'c0032285', 'c0026858', 'c0013404', 'c0015967', 'c0015672', 'c0232431', 'c0020458', 'c2242737', 'c0023530', 'c3665347', 'c0024902', 'c0221392', 'c0574067', 'c0027121', 'c0023223', 'c0020473', 'c0011124', 'c0007820', 'c0018799', 'c0006840', 'c0031350', 'c0033774', 'c0043096', 'c1320474', 'c0234913', 'c0023518', 'c0013295', 'c0740394', 'c0518015', 'c0018801', 'c0232459', 'c0004093', 'c0036974', 'c0233414', 'c0040435', 'c0014591', 'c0029408', 'c0003864', 'c0151786', 'c0038454', 'c1443060', 'c0013456', 'c2830004', 'c0042514', 'c0042345', 'c0020651', 'c0006266', 'c0013604', 'c0234215', 'c0235467', 'c0037763', 'c0235416', 'c2939147', 'c0041969', 'c0028084', 'c0022408', 'c3665386', 'c0007859', 'c0018808', 'c0030232', 'c0151636', 'c0040034', 'c0233494', 'c0311223', 'c0026821', 'c0085631', 'c0018099', 'c0034150', 'c0232461', 'c0700590', 'c0917801', 'c0011991', 'c0040485', 'c0018681', 'c0577822', 'c0948089', 'c0521839', 'c0702166', 'c0016204', 'c0005779', 'c0344232', 'c0151824', 'c0016382', 'c0004096', 'c0019209', 'c0149931', 'c0428974', 'c0043094', 'c0006384', 'c0259749', 'c0030193', 'c0041657', 'c0031117', 'c0392525', 'c0003123', 'c0013428', 'c1145628', 'c0549386', 'c0020621', 'c0042963', 'c0039240', 'c0037199', 'c0042571', 'c0042769', 'c0020649', 'c0006277', 'c0155626', 'c0206504', 'c0149836', 'c2047937', 'c0010200', 'c0014724', 'c0687713', 'c0037287', 'c0017152', 'c0086439', 'c0011603', 'c0002622', 'c0037317', 'c0012569', 'c0002962', 'c0004936', 'c0235807', 'c0013395', 'c0038990', 'c0011849', 'c0600142', 'c0012833', 'c0040822', 'c0232726', 'c0085616', 'c0281981', 'c0340464', 'c0017979', 'c0020443', 'c0233472', 'c0004604', 'c0027424', 'c0392171', 'c0021843', 'c0008031', 'c0020580', 'c0001925', 'c1167965', 'c0040264', 'c0004238', 'c0027051', 'c0009763', 'c0038358', 'c0022650', 'c2129214', 'c0030554', 'c0002871', 'c0235896', 'c0235490', 'c0013595', 'c0009806', 'c0027769', 'c0520966', 'c0231218', 'c0162429', 'c0027813', 'c0231528', 'c0085633', 'c0003467', 'c0004245', 'c0041912', 'c0013378', 'c0018965', 'c0017675', 'c0002884', 'c0042023', 'c0521160', 'c0025222', 'c0018834', 'c0424790', 'c0085649', 'c0151905', 'c0020517', 'c0033575', 'c0031037', 'c0009450', 'c0085636', 'c0156273', 'c0043352']"
db01021,"['db01021', 'db00562', 'db00880', 'db00774', 'db00436', 'db00606']","['db01021', 'db01021', 'db00562', 'db00880', 'db00774', 'db00436', 'db00606']"
db01022,"['db01022', 'db00163']","['db01022', 'db01022', 'db00163', 'c0240840', 'c0021368', 'c0012833', 'c0020649', 'c0151828', 'c0021053', 'c0013404', 'c0232132', 'c0863083', 'c0151735', 'c0020517', 'c0031542', 'c0016382', 'c0011644', 'c0010520', 'c0027540', 'c0700590', 'c0030193', 'c0020433', 'c0020458', 'c0333641', 'c0041834', 'c0340865', 'c0002792', 'c0235472', 'c0038990', 'c0038999']"
db01023,"['db01023', 'db00528', 'db01054', 'db00381', 'db00622', 'db04920', 'db06712', 'db01115']","['db01023', 'db01023', 'db00528', 'db01054', 'db00381', 'db00622', 'db04920', 'db06712', 'db01115', 'c1096286', 'c0011991', 'c0549386', 'c0232487', 'c0030196', 'c0041834', 'c0002994', 'c0010200', 'c0015672', 'c0013395', 'c0038999', 'c0026821', 'c0085649', 'c0917801', 'c0037763', 'c0019559', 'c0014743', 'c0340464', 'c0012833', 'c0013404', 'c0016512', 'c0027441', 'c0020651', 'c0239377', 'c0038454', 'c0234192', 'c2973529', 'c0033774', 'c2830004', 'c0039231', 'c0042109', 'c0235309', 'c0030554', 'c0016204', 'c0264906', 'c2981158', 'c0002871', 'c0002962', 'c0036974', 'c0042571', 'c0231749', 'c2004489', 'c0042401', 'c1142412', 'c1443060', 'c0004093', 'c0162830', 'c0039070', 'c0014742', 'c0948594', 'c0003469', 'c0037383', 'c0016382', 'c0008031', 'c0017566', 'c0015967', 'c0003862', 'c0037199', 'c0006277', 'c0231528', 'c0027497', 'c0018681', 'c0013428', 'c0009676', 'c0020569', 'c0027769', 'c0042023', 'c0521839', 'c0011603', 'c0032617', 'c0549622', 'c0031350', 'c3665347', 'c0235439', 'c1167965', 'c1260880', 'c0428977', 'c0020507', 'c0023222', 'c0542571', 'c0042963', 'c0030252', 'c0004604', 'c0014591', 'c0000737', 'c2242996', 'c0547030', 'c0242350', 'c2939147', 'c0149904', 'c0234233', 'c0041912', 'c0011124', 'c0687713', 'c0233494', 'c0018418', 'c0035243', 'c0043352', 'c0041657', 'c0009938', 'c0021400', 'c0040822', 'c0151436', 'c0015230', 'c0152031', 'c0009806', 'c0020517', 'c0003811', 'c0855242', 'c0085606', 'c0022107']"
db01024,['db01024'],"['db01024', 'db01024', 'c0347390', 'c0007097', 'c0040034', 'c0574067', 'c0740394', 'c0015967', 'c0242429', 'c0041969', 'c0022660', 'c0038999', 'c0018802', 'c0017178', 'c0022904', 'c0035455', 'c0858635', 'c0042749', 'c0007114', 'c0018799', 'c0024248', 'c0019079', 'c0151578', 'c0018681', 'c0042963', 'c0030920', 'c0151717', 'c0232498', 'c0877635', 'c0151596', 'c0032461', 'c0014122', 'c0011849', 'c0151746', 'c0020538', 'c0588128', 'c0007222', 'c0039240', 'c0004364', 'c0243026', 'c0000772', 'c0017160', 'c0012833', 'c0018801', 'c0034063', 'c0542571', 'c0030305', 'c0014868', 'c0242354', 'c0009319', 'c0027441', 'c0004604', 'c0549373', 'c0001175', 'c0027769', 'c0020676', 'c1619702', 'c1384353', 'c0037763', 'c0426390', 'c0004096', 'c0020598', 'c0948349', 'c0003862', 'c0033036', 'c0042024', 'c0024115', 'c0043096', 'c0026821', 'c0013221', 'c0015230', 'c0009806', 'c0151779', 'c0034882', 'c0151942', 'c1696946', 'c0000731', 'c0442874', 'c0019163', 'c0038990', 'c0000833', 'c0025289', 'c0026919', 'c0007642', 'c0006826', 'c0027651', 'c0011175', 'c0025061', 'c0009763', 'c0022658', 'c0151636', 'c0234458', 'c0438215', 'c0020473', 'c2129214', 'c0234215', 'c0521839', 'c0001824', 'c0031350', 'c0021290', 'c0030252', 'c0039971', 'c0013295', 'c2830004', 'c0019270', 'c0033774', 'c0020621', 'c0040822', 'c0031117', 'c0017566', 'c0030201', 'c0023218', 'c3665347', 'c0853619', 'c0004093', 'c0003467', 'c0085649', 'c0038358', 'c0153251', 'c0392025', 'c0026946', 'c2363730', 'c0001925', 'c0020433', 'c0031542', 'c0017574', 'c0162429', 'c0699893', 'c0020639', 'c0239340', 'c0013395', 'c0042769', 'c1443060', 'c0015402', 'c0235431', 'c0085633', 'c0151904', 'c0080274', 'c0267792', 'c0041657', 'c0019080', 'c0025222', 'c0085680', 'c0917801', 'c0020542', 'c0235031', 'c0231528', 'c0268000', 'c0037299', 'c0264863', 'c3665386', 'c0013491', 'c0034186', 'c0151539', 'c0024299', 'c0007971', 'c0030517', 'c0029443', 'c0232849', 'c0005940', 'c0020437', 'c0010414', 'c0002418', 'c0017168', 'c0003864', 'c0013404', 'c0877305', 'c3495920', 'c0233632', 'c0037199', 'c1258215', 'c0004134', 'c0029118', 'c0006849', 'c0019360', 'c0085393', 'c0040053', 'c0085616', 'c0027765', 'c0041912', 'c0011168', 'c0008311', 'c0428977', 'c0235750', 'c0018520', 'c0021845', 'c0151736', 'c0017152', 'c0029456', 'c0151692', 'c0004238', 'c0085681', 'c0035243', 'c0026826', 'c0011053', 'c0151662', 'c0232462', 'c0242350', 'c0085682', 'c0877042', 'c0497247', 'c0032326', 'c0015672', 'c0267033', 'c0020615', 'c0030232', 'c0042571', 'c0017181', 'c0031039', 'c0018989', 'c0085632', 'c0019348', 'c0020456', 'c0267028', 'c0022346', 'c0009676', 'c0019158', 'c0549463', 'c0001127', 'c0231807', 'c0041296', 'c0340464', 'c0341335', 'c0030196', 'c0151883', 'c0018790', 'c0235416', 'c0020651', 'c0039070', 'c0032227', 'c1096691', 'c0018965', 'c0002962', 'c0000737', 'c0003811', 'c0022408', 'c0151786', 'c0232492', 'c0009782', 'c0160390', 'c0028734', 'c0233472', 'c0438142', 'c0518015', 'c0011603', 'c0020649', 'c0040264', 'c1565489', 'c0178298', 'c0151723', 'c0007117', 'c0013447', 'c0023530', 'c0036220', 'c0007859', 'c0018939', 'c0020580', 'c0033575', 'c0231218', 'c0947912', 'c0036974', 'c0546817', 'c0043144', 'c0018524', 'c0546884', 'c0086543', 'c0006840', 'c0854567', 'c0027947', 'c1720775', 'c0003962', 'c0085096', 'c0024314', 'c0085082', 'c0687713', 'c0333641', 'c0013428', 'c0004998', 'c0151766', 'c0006145', 'c0013604', 'c0007137', 'c0042023', 'c0019521', 'c0853149', 'c0877303', 'c0016204', 'c1619712', 'c0042029', 'c0235639', 'c0424024', 'c0008031', 'c0919671', 'c0020443', 'c0687707', 'c0851341', 'c0034902', 'c0028961', 'c0549334', 'c0003578', 'c0010823', 'c0029408', 'c0014591', 'c0009450', 'c0149745', 'c0042373', 'c0085631', 'c0042075', 'c0027497', 'c0151849', 'c0039231', 'c0030554', 'c0041974', 'c0019572', 'c0030193', 'c0010481', 'c0005779', 'c0233494', 'c0030794', 'c0085932', 'c0020578', 'c0232115', 'c0151872', 'c0032285', 'c0023524', 'c0002063', 'c0011991', 'c0343886', 'c0004239', 'c0030312', 'c0037274', 'c0043241', 'c0003123', 'c0013456', 'c0877232', 'c0002884', 'c0038362', 'c0043352', 'c0009938', 'c0032787', 'c1141930', 'c0235567', 'c0014130', 'c0151609', 'c0020461', 'c0035078', 'c1145670', 'c0001122', 'c0015927', 'c0004936', 'c0033975', 'c3160741', 'c1262144', 'c0022354', 'c0023518', 'c0000768', 'c0024312', 'c0020625', 'c0424605', 'c0497156', 'c0032961', 'c0232495', 'c0031256', 'c0151905', 'c0020295', 'c0036572', 'c0018099', 'c0014724', 'c0031154', 'c0019196', 'c0021051', 'c0043094', 'c0233471', 'c0024305', 'c1306341', 'c0852911', 'c0424790', 'c0011630', 'c0020458', 'c0011206', 'c0002170', 'c0151754', 'c0151603', 'c0002871', 'c0004144', 'c2363731', 'c0344232', 'c0948594', 'c0877690', 'c0702166', 'c0085593', 'c0006277', 'c0010200', 'c3263723', 'c0021400', 'c2047937', 'c0042514', 'c0877117', 'c0151763', 'c0687675', 'c0266589', 'c0242073', 'c0034069', 'c0025202', 'c0015397', 'c0152029', 'c0085641']"
db01025,['db01025'],"['db01025', 'db01025', 'c0027765', 'c0030554', 'c2363731', 'c0030193', 'c0242429', 'c0038362', 'c0017178', 'c0027497', 'c0018681', 'c0038363', 'c0151766', 'c2363730', 'c0149745']"
db01026,"['db01026', 'db01263']","['db01026', 'db01026', 'db01263', 'c0002170', 'c0151602', 'c0011991', 'c0221345', 'c0151878', 'c0235807', 'c0917801', 'c3544060', 'c0006145', 'c0002994', 'c0022575', 'c0085593', 'c0267792', 'c0948594', 'c0012833', 'c0018418', 'c0025061', 'c0392197', 'c0043352', 'c0085649', 'c0162830', 'c0030193', 'c0027497', 'c0521491', 'c0037274', 'c0241157', 'c0151798', 'c0086565', 'c0085641', 'c0038999', 'c0234215', 'c0002878', 'c0340865', 'c1325847', 'c0040034', 'c0687713', 'c0013395', 'c0030353', 'c0232461', 'c0020557', 'c0042963', 'c0033774', 'c0042373', 'c0018681', 'c0011606', 'c0009782', 'c0242350', 'c0151689', 'c0020651', 'c0014130', 'c0042109', 'c0009806', 'c0270996', 'c0151474', 'c0853692', 'c1443060', 'c0020517', 'c0392386', 'c0235014', 'c0085624', 'c0003862', 'c0857807', 'c0023530', 'c0002792', 'c0233494', 'c0003123', 'c0027765', 'c0000737', 'c0152030', 'c0236075', 'c0474378', 'c0014591', 'c0149904', 'c0151908', 'c0314719', 'c0235378', 'c0013378', 'c0241057', 'c0015397', 'c0085653', 'c0028960', 'c0231218', 'c0021099', 'c0021053', 'c0004509', 'c0231528', 'c0349506', 'c0235266', 'c0015230', 'c0015967', 'c0043345', 'c2047937', 'c0178298', 'c0151505', 'c0277961', 'c2939147', 'c0877661', 'c0085605', 'c0015672', 'c0232492', 'c0036508', 'c0022346', 'c0085612', 'c0004093', 'c0151740', 'c0030554', 'c0877055', 'c0029134', 'c0019158', 'c0151596', 'c0011603', 'c0677500', 'c0162429', 'c2830004', 'c0085636', 'c0016204', 'c0011616', 'c0041834', 'c0232462', 'c0003811', 'c0600142', 'c0027769', 'c0004936', 'c0025345', 'c0014742', 'c0020473', 'c0017178']"
db01029,"['db01029', 'db00796', 'db01342', 'db01349']","['db01029', 'db01029', 'db00796', 'db01342', 'db01349', 'c0018681', 'c0157733', 'c0030193', 'c0026858', 'c0030554', 'c0002871', 'c0085631', 'c0034063', 'c0030305', 'c0024312', 'c0018621', 'c0020456', 'c0234987', 'c0520966', 'c0038454', 'c0242073', 'c0233459', 'c0009806', 'c0040034', 'c0151539', 'c0010200', 'c0522035', 'c0042029', 'c0851578', 'c0541832', 'c0020651', 'c0600142', 'c0018808', 'c0003862', 'c2973529', 'c0234233', 'c0018834', 'c0232493', 'c0027441', 'c0011603', 'c0006145', 'c0687133', 'c0036974', 'c1142277', 'c0342579', 'c1322281', 'c2047937', 'c0014518', 'c0239488', 'c0020546', 'c1291078', 'c0042571', 'c0158369', 'c0151576', 'c0020621', 'c0001824', 'c0151786', 'c0033687', 'c0043352', 'c0034933', 'c0021053', 'c0021400', 'c0016382', 'c0000731', 'c0018099', 'c0151766', 'c0042384', 'c0032285', 'c0006147', 'c3263723', 'c0428977', 'c0026636', 'c0003467', 'c0349506', 'c0236075', 'c0008031', 'c0009782', 'c0009763', 'c0018500', 'c0004096', 'c0264886', 'c0009443', 'c0017178', 'c0042373', 'c0020580', 'c0947912', 'c0232461', 'c0497247', 'c0042109', 'c0740394', 'c0033774', 'c0016204', 'c0017160', 'c0231528', 'c0344232', 'c0162287', 'c0013609', 'c0234192', 'c0853034', 'c0004093', 'c0028643', 'c0948525', 'c0038435', 'c0026846', 'c0006444', 'c0027765', 'c0085612', 'c0013378', 'c0043144', 'c0039231', 'c2830004', 'c0025061', 'c0037023', 'c0022661', 'c0178298', 'c0020517', 'c1565489', 'c0027121', 'c0020461', 'c0013456', 'c0014591', 'c0240464', 'c0022346', 'c0017168', 'c0035410', 'c0853619', 'c0027051', 'c0085593', 'c0026821', 'c0018799', 'c0011991', 'c0027707', 'c0003811', 'c0234215', 'c0022890', 'c0151825', 'c0041657', 'c0013985', 'c0687707', 'c0549386', 'c0027497', 'c0000737', 'c0022658', 'c0687713', 'c0547030', 'c0162298', 'c0085580', 'c0022354', 'c0232203', 'c0278134', 'c0020625', 'c0863084', 'c0162830', 'c0003123', 'c0476273', 'c0162429', 'c0002792', 'c0041969', 'c0235416', 'c0015230', 'c0549622', 'c0013491', 'c0233472', 'c0020649', 'c0270795', 'c0149744', 'c0041834', 'c0494559', 'c0013395', 'c0038999', 'c0267792', 'c0013404', 'c0086565', 'c0043094', 'c0007787', 'c0012833', 'c0011849', 'c0011168', 'c3665347', 'c0002874', 'c0948586', 'c0233571', 'c0262988', 'c0392176', 'c0037274', 'c0476280', 'c0041912', 'c0012359', 'c0232492', 'c0221185', 'c0553548', 'c0232462', 'c0428974', 'c0542571', 'c0587246', 'c0403447', 'c0027947', 'c0014868', 'c0035455', 'c0002962', 'c0877359', 'c0015672', 'c0009450', 'c1443060', 'c0040264', 'c0456909', 'c0085649', 'c0042075', 'c0085633', 'c0015967', 'c0040586', 'c0039070', 'c0858589', 'c0019158', 'c1318520', 'c0427008', 'c0003864', 'c0231218', 'c0220870', 'c0031350', 'c0042963', 'c0699744', 'c0700363', 'c0020458', 'c0541799', 'c0002994', 'c0600228', 'c0040822', 'c0020538', 'c0241863', 'c0037763', 'c2939147', 'c0043251', 'c0041349', 'c0017979', 'c0002878', 'c0948349', 'c0948594', 'c0033575', 'c0233494', 'c0035078', 'c0948089', 'c0023530', 'c0013604', 'c0037317', 'c0027769']"
db01030,"['db01030', 'db00762']","['db01030', 'db01030', 'db00762', 'c0023380', 'c1145670', 'c0023530', 'c0085932', 'c0030312', 'c0340865', 'c0042109', 'c0854069', 'c0040034', 'c0235818', 'c0020580', 'c0018834', 'c0851341', 'c0021843', 'c0423791', 'c1384606', 'c0043094', 'c0008033', 'c0015230', 'c0015967', 'c0018681', 'c0021053', 'c0020517', 'c0015672', 'c0014591', 'c0008031', 'c0424790', 'c0031117', 'c0042963', 'c0035455', 'c0522067', 'c0234913', 'c0000737', 'c2939419', 'c0518015', 'c1384353', 'c0151904', 'c0013404', 'c0003123', 'c0019080', 'c0231218', 'c0178298', 'c0024115', 'c0400823', 'c0037763', 'c0038362', 'c0015376', 'c2047937', 'c0012833', 'c0027497', 'c0027651', 'c0333355', 'c0002792', 'c0011991', 'c0030193', 'c0234215', 'c0003862', 'c0002871', 'c0085593', 'c0027796', 'c0032285', 'c0243026', 'c0037274', 'c0162429', 'c0151905', 'c0267792', 'c1384494', 'c0151825', 'c0687713', 'c0025061', 'c0013395', 'c0013390', 'c0009450', 'c0042373', 'c0442874', 'c0020433', 'c0030552', 'c0231528', 'c0035222', 'c0002994', 'c0009806', 'c1443060', 'c0010200', 'c0026821', 'c0002170', 'c0020458', 'c0311468', 'c0206062', 'c0034065', 'c0017178', 'c0009319', 'c0011603', 'c0004093', 'c0746883', 'c0854467', 'c0013456', 'c0031350', 'c0027947', 'c0032227', 'c0027765', 'c0018790', 'c0004604', 'c0853334', 'c0242379', 'c0033774', 'c0030554', 'c0038990', 'c0948594', 'c0232462', 'c0030794', 'c0085669']"
db01032,"['db01032', 'db01035']","['db01032', 'db01032', 'db01035', 'c0042109', 'c0002878', 'c0232462', 'c0027497', 'c0020517', 'c0015967', 'c0042963', 'c0027726', 'c0003123', 'c0018965', 'c0002874', 'c0016382', 'c0030193', 'c0002170', 'c0033774', 'c0038325', 'c0151798', 'c0023530', 'c0012833', 'c0011603', 'c0152169', 'c0014518', 'c0018681', 'c0002792', 'c0014742', 'c0239739', 'c0042023', 'c0002871']"
