e1,e2,all
db00132,"['db00132', 'db00159', 'db08887', 'db00154', 'db06689', 'db00548']","['db00132', 'db00132', 'db00159', 'db08887', 'db00154', 'db06689', 'db00548', 'c0017178', 'c0009806', 'c0002792', 'c0011603', 'c0162429', 'c0019087', 'c0151904', 'c0042963', 'c0014724', 'c0013395', 'c0013378', 'c0151905', 'c0033774', 'c0015230']"
db00133,"['db00133', 'db00151', 'db00125', 'db00161', 'db00174', 'db00145', 'db00123', 'db00167', 'db00156', 'db00135', 'db00155', 'db00134', 'db00149', 'db00129', 'db00128', 'db00160']","['db00133', 'db00133', 'db00151', 'db00125', 'db00161', 'db00174', 'db00145', 'db00123', 'db00167', 'db00156', 'db00135', 'db00155', 'db00134', 'db00149', 'db00129', 'db00128', 'db00160']"
db00134,"['db00134', 'db00128', 'db00151', 'db00155', 'db00160', 'db00149', 'db00123', 'db00129', 'db00125', 'db00174']","['db00134', 'db00134', 'db00128', 'db00151', 'db00155', 'db00160', 'db00149', 'db00123', 'db00129', 'db00125', 'db00174']"
db00135,"['db00135', 'db01042', 'db00120', 'db02959', 'db00150', 'db01235', 'db01050', 'db01055', 'db01288', 'db00316', 'db00765']","['db00135', 'db00135', 'db01042', 'db00120', 'db02959', 'db00150', 'db01235', 'db01050', 'db01055', 'db01288', 'db00316', 'db00765']"
db00136,"['db00136', 'db01436', 'db00153', 'db01070', 'db00146', 'db02300', 'db00169', 'db00910']","['db00136', 'db00136', 'db01436', 'db00153', 'db01070', 'db00146', 'db02300', 'db00169', 'db00910', 'c1561643', 'c0042029', 'c0033975', 'c0151714', 'c0030193', 'c0855242', 'c0003467', 'c0042109', 'c0863084', 'c0032343', 'c0438215', 'c0020538', 'c0852911', 'c0000737', 'c0041834', 'c0235431', 'c0151904', 'c0022650', 'c0151825', 'c0036572', 'c0013378', 'c0006826', 'c0948594', 'c0027441', 'c0240327', 'c0033774', 'c0239935', 'c0085631', 'c0014742', 'c0015230', 'c1994994', 'c0235639', 'c0020437', 'c0019054', 'c0011603', 'c0020517', 'c0006663', 'c0234215', 'c0000729', 'c0233485', 'c1262165', 'c0151849', 'c0020438', 'c0085636', 'c0039971', 'c0232492', 'c2830004', 'c0595928', 'c0005758', 'c0151683', 'c0231528', 'c0332575', 'c0009763', 'c0392525', 'c0018681', 'c0027709', 'c0043352', 'c0009806', 'c0043096', 'c0011991', 'c0221255', 'c0029405', 'c0020443', 'c1291078', 'c0700225', 'c0233471', 'c0687713', 'c0008031', 'c1260880', 'c0240211', 'c0030196', 'c0151539', 'c0032617', 'c0152027', 'c0027497', 'c0037274', 'c0003811', 'c0241057', 'c0406317', 'c0042963', 'c0011175', 'c0085681', 'c0001925', 'c0022661', 'c0085932', 'c0438142', 'c0728899', 'c0028734', 'c0004093', 'c0011124', 'c0518015', 'c0595876', 'c0003123', 'c1167965', 'c0002792', 'c0917801', 'c0549448', 'c0085632', 'c0019080', 'c0030305', 'c0013144', 'c0033860', 'c0221512', 'c0015967', 'c0232462', 'c0085602']"
db00138,"['db00138', 'db00155', 'db00128', 'db00174']","['db00138', 'db00138', 'db00155', 'db00128', 'db00174']"
db00139,"['db00139', 'db06775', 'db00128', 'db00548']","['db00139', 'db00139', 'db06775', 'db00128', 'db00548']"
db00140,"['db00140', 'db03147']","['db00140', 'db00140', 'db03147']"
db00143,"['db00143', 'db06775']","['db00143', 'db00143', 'db06775']"
db00145,"['db00145', 'db00160']","['db00145', 'db00145', 'db00160', 'c0220870', 'c0547030', 'c3160741', 'c0030193', 'c0011991', 'c0242073', 'c0220994', 'c0267994', 'c0020649', 'c0002962', 'c0020517', 'c0007222', 'c0011175', 'c0080274', 'c0039971', 'c0035455', 'c0036104', 'c0001122', 'c0024115', 'c0012833', 'c0042109', 'c3665347', 'c0085584', 'c0012254', 'c0032617', 'c0004604', 'c0546817', 'c0085593', 'c0042963', 'c0036572', 'c0155003', 'c0013604', 'c0040046', 'c0344232', 'c0948349', 'c0020625', 'c0042571', 'c0039231', 'c0012797', 'c0009421', 'c0342579', 'c0037036', 'c0027497']"
db00146,"['db00146', 'db00169']","['db00146', 'db00146', 'db00169']"
db00147,"['db00147', 'db00165']","['db00147', 'db00147', 'db00165']"
db00149,"['db00149', 'db00160', 'db00167', 'db00161']","['db00149', 'db00149', 'db00160', 'db00167', 'db00161']"
db00150,"['db00150', 'db00120', 'db01235', 'db02959']","['db00150', 'db00150', 'db00120', 'db01235', 'db02959']"
